cleora_n_iter,cleora_dim,train_test_split,dataset_name,batch_size,test_batch_size,epochs,algo,f1_micro,f1_macro,log_loss,std_f1_micro,std_f1_macro,std_log_loss
6.0,1024.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.36873335648952177,0.1591437290709156,1.5110286987114487,5.551115123125783e-17,0.0,2.220446049250313e-16
6.0,1024.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.36569410675002895,0.14511887160109516,1.5147403411950162,0.0,0.0,0.0
6.0,512.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.3738566631932384,0.1673612410230638,1.508127651613764,5.551115123125783e-17,0.0,0.0
6.0,512.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.370875303924974,0.1517611702170729,1.516087530658509,0.0,0.0,0.0
6.0,256.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.3657809424568716,0.1443424073648419,1.5161256453408072,0.0,0.0,0.0
6.0,256.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3627706379529929,0.1319686304113362,1.521958523635798,0.0,0.0,2.220446049250313e-16
5.0,1024.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.3718015514646289,0.1493833354144013,1.5187323320753716,0.0,0.0,0.0
5.0,1024.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3675755470649531,0.1379268035512756,1.5258906209588663,0.0,0.0,2.220446049250313e-16
5.0,512.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.364246844969318,0.1417064377712315,1.5233761757200543,5.551115123125783e-17,0.0,0.0
5.0,512.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3601655667477133,0.1265100360294028,1.5300595035362812,0.0,0.0,2.220446049250313e-16
5.0,256.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.3655493805719578,0.1424333222157906,1.526668878557821,0.0,0.0,0.0
5.0,256.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3597313882135001,0.1304186551928435,1.5357806236502782,0.0,0.0,0.0
4.0,1024.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.3481822392034271,0.0969439866499893,1.543057895107697,0.0,0.0,2.220446049250313e-16
4.0,1024.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3472849368993864,0.0923573504539877,1.551290582914605,0.0,0.0,0.0
4.0,512.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.352958203079773,0.1135935538242821,1.541604384836948,0.0,0.0,2.220446049250313e-16
4.0,512.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3515398865346764,0.1049387162779103,1.5496419616183963,0.0,0.0,0.0
4.0,256.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.353479217320829,0.111106798898699,1.5456123455052315,0.0,0.0,0.0
4.0,256.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3515688317702906,0.1040712945023073,1.5517375599578789,5.551115123125783e-17,0.0,2.220446049250313e-16
3.0,1024.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.3483559106171124,0.08730559445796,1.5580184501698204,0.0,0.0,0.0
3.0,1024.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3481243487321986,0.0863463846914277,1.562412434371124,5.551115123125783e-17,0.0,0.0
3.0,512.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.350555748523793,0.0937721637641383,1.5531936237466488,5.551115123125783e-17,0.0,2.220446049250313e-16
3.0,512.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.3493979390992243,0.0885520209144312,1.5578231640392728,0.0,0.0,0.0
3.0,256.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,clique,0.350295241403265,0.1017905784167476,1.5584247993920002,0.0,0.0,0.0
3.0,256.0,0.2,trivago-clicks-continents,256.0,1000.0,20.0,star,0.350555748523793,0.0956198552813469,1.5628903024961212,5.551115123125783e-17,0.0,0.0
6.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.363099257258609,0.0821763205917319,1.9056674758086567,5.551115123125783e-17,0.0,0.0
6.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4203803736214269,0.1059659071769838,1.7881978902569893,0.0,0.0,0.0
6.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3735088903893765,0.0853255851697153,1.898295526049056,0.0,1.3877787807814457e-17,0.0
6.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4271888363718208,0.1116259449320579,1.7820970106563063,0.0,0.0,0.0
6.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3644496961512491,0.0832267391113395,1.9128183104014445,0.0,0.0,0.0
6.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4103083502138195,0.103344951577857,1.808639820066788,5.551115123125783e-17,0.0,0.0
5.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3813864505964438,0.0879934914219933,1.8816289005150004,5.551115123125783e-17,0.0,0.0
5.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4185797884312401,0.1041125146694906,1.7936752853760196,0.0,0.0,2.220446049250313e-16
5.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3785167679495836,0.0871379683682481,1.8910265939339428,0.0,1.3877787807814457e-17,0.0
5.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4125590817015531,0.1002507964521444,1.8103853030033008,5.551115123125783e-17,0.0,0.0
5.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3780666216520369,0.0879090563641382,1.885304450716258,0.0,0.0,0.0
5.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4071573261309926,0.100245995739603,1.8105497431253104,0.0,0.0,0.0
4.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3870132793157775,0.0907301291224588,1.87109511616791,5.551115123125783e-17,0.0,0.0
4.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4069885212694125,0.0973555906669397,1.8195716132136228,5.551115123125783e-17,0.0,0.0
4.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3826806212018905,0.0904388222881851,1.882460904579902,0.0,0.0,0.0
4.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.4017555705604321,0.097506585786476,1.8387916072688848,0.0,0.0,0.0
4.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3808237677245105,0.0906504687064695,1.8812975677781216,0.0,0.0,0.0
4.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.3955097906819717,0.0947259966078098,1.8398615327833343,5.551115123125783e-17,1.3877787807814457e-17,0.0
3.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3762097681746568,0.0882884893980986,1.8929282894387225,0.0,0.0,0.0
3.0,1024.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.3584852577087553,0.0835446740070633,1.9103522285672936,5.551115123125783e-17,0.0,0.0
3.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3794733288318703,0.0895423479242644,1.8869960706899804,0.0,0.0,2.220446049250313e-16
3.0,512.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.362930452397029,0.0854009998913752,1.9108549242173447,0.0,0.0,0.0
3.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,clique,0.3775602070672969,0.0888895307001029,1.890418384914515,0.0,0.0,0.0
3.0,256.0,0.2,walmart-trips,256.0,1000.0,20.0,star,0.3506076975016881,0.0815919577354354,1.919036363283499,0.0,0.0,2.220446049250313e-16
6.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7516688918558077,0.7080231572913089,0.7454794453456713,1.1102230246251563e-16,1.1102230246251563e-16,0.0
6.0,1024.0,0.2,fb-pages,256.0,1000.0,20.0,star,0.7514463729417,0.7115039620943717,0.7462104655151094,1.1102230246251563e-16,0.0,1.1102230246251563e-16
6.0,512.0,0.2,fb-pages,256.0,1000.0,20.0,clique,0.7443257676902537,0.705821735567588,0.7548016090705082,1.1102230246251563e-16,0.0,0.0
